user_id,star_num,f_num,f_name
29,270,5,1
29,304,4,1
29,33,4,1
29,118,4,1
29,124,4,1
29,259,4,1
29,287,4,1
29,252,5,1
29,267,5,1
29,65,5,1
29,193,5,1
29,287,5,1
29,173,5,1
30,263,4,1
30,11,3,1
30,171,3,1
30,27,5,1
30,147,5,1
31,142,3,1
31,158,3,1
31,171,3,1
31,210,3,1
31,56,5,1
31,129,5,1
32,40,4,1
32,46,4,1
32,193,4,1
32,7,3,1
32,40,3,1
32,7,4,1
32,118,4,1
32,142,4,1
32,125,3,1
32,304,4,1
32,33,5,1
32,36,5,1
32,37,5,1
32,6,4,1
32,119,4,1
32,210,4,1
32,30,4,1
32,11,1,1
32,46,1,1
32,307,1,1
32,64,4,1
32,74,4,1
32,135,4,1
32,28,4,1
32,32,4,1
32,41,4,1
32,0,4,1
32,1,4,1
32,17,4,1
32,124,4,1
32,30,5,1
32,4,2,1
32,142,2,1
32,48,4,1
32,33,4,1
33,304,4,1
33,56,5,1
33,75,5,1
34,287,4,1
34,75,5,1
34,76,5,1
35,119,1,1
35,4,4,1
35,48,4,1
35,2,4,1
35,124,4,1
35,287,4,1
35,184,2,1
35,263,3,1
35,28,5,1
35,307,5,1
36,7,5,1
36,119,5,1
36,46,5,1
37,33,5,1
37,38,5,1
37,75,5,1
37,171,5,1
37,2,5,1
37,5,5,1
37,86,5,1
37,93,5,1
37,28,5,1
37,30,5,1
37,148,5,1
37,48,5,1
37,129,5,1
37,304,5,1
37,40,4,1
37,41,5,1
37,121,5,1
37,138,5,1
37,173,5,1
37,264,5,1
37,0,5,1
38,33,4,1
38,287,3,1
38,0,4,1
38,1,4,1
38,287,5,1
38,277,3,1
38,164,4,1
39,263,4,1
39,195,5,1
39,287,4,1
40,118,5,1
40,304,5,1
40,1,4,1
40,7,2,1
40,48,5,1
40,171,2,1
40,7,3,1
40,304,3,1
40,153,3,1
40,160,3,1
40,28,4,1
40,31,4,1
41,15,5,1
41,124,5,1
41,171,5,1
41,193,5,1
41,33,4,1
42,148,4,1
42,155,4,1
42,304,5,1
42,118,4,1
42,7,4,1
42,164,4,1
42,210,4,1
42,0,4,1
43,33,4,1
43,193,3,1
43,113,3,1
43,125,5,1
43,287,4,1
43,40,4,1
43,41,4,1
43,33,5,1
43,36,5,1
43,135,5,1
43,284,4,1
43,48,2,1
43,138,2,1
43,32,5,1
44,2,5,1
44,171,5,1
44,94,4,1
44,102,4,1
44,40,5,1
44,121,5,1
44,138,5,1
44,164,4,1
45,46,4,1
45,33,5,1
45,124,3,1
45,287,3,1
45,171,5,1
45,11,5,1
45,46,5,1
45,307,5,1
45,40,5,1
45,121,5,1
45,138,5,1
45,142,5,1
45,1,4,1
45,142,4,1
45,182,4,1
45,158,4,1
45,210,4,1
45,279,4,1
45,205,3,1
45,87,5,1
45,6,4,1
45,7,4,1
45,40,4,1
46,284,4,1
46,116,4,1
46,84,4,1
47,273,4,1
47,284,4,1
47,210,4,1
47,164,4,1
47,169,4,1
47,4,3,1
47,24,3,1
47,210,5,1
47,245,4,1
47,124,4,1
47,142,4,1
47,156,4,1
48,28,5,1
48,87,5,1
48,274,5,1
48,138,5,1
49,33,4,1
49,142,4,1
49,158,4,1
49,171,4,1
49,1,1,1
49,142,1,1
50,46,5,1
50,28,4,1
50,33,4,1
50,164,5,1
50,28,5,1
50,280,5,1
50,273,5,1
50,171,5,1
50,195,5,1
50,2,5,1
50,33,5,1
50,135,5,1
50,129,5,1
51,48,5,1
51,81,5,1
51,119,5,1
51,263,5,1
51,304,5,1
51,263,4,1
51,1,5,1
51,30,5,1
52,134,4,1
52,69,4,1
52,132,4,1
52,200,4,1
52,30,3,1
52,48,3,1
52,153,4,1
52,75,3,1
52,27,4,1
52,27,3,1
52,164,3,1
52,64,4,1
52,4,4,1
52,195,4,1
53,13,5,1
53,171,5,1
54,28,4,1
54,44,4,1
54,11,5,1
54,6,5,1
55,119,5,1
55,82,3,1
55,304,5,1
55,118,4,1
56,33,5,1
56,48,5,1
56,64,5,1
56,27,5,1
56,173,5,1
56,210,5,1
56,228,5,1
56,230,5,1
56,264,5,1
57,210,4,1
57,304,4,1
57,2,5,1
57,193,5,1
57,24,5,1
57,2,4,1
57,33,4,1
57,36,4,1
57,46,4,1
58,7,5,1
58,18,5,1
59,48,5,1
59,82,5,1
59,119,5,1
59,193,5,1
59,286,5,1
59,171,5,1
60,267,4,1
60,7,5,1
60,48,5,1
60,30,5,1
60,33,5,1
61,263,5,1
61,127,5,1
62,173,4,1
62,210,4,1
62,94,5,1
62,33,5,1
62,171,5,1
62,164,3,1
62,11,5,1
63,148,5,1
63,155,5,1
63,263,4,1
63,270,4,1
63,171,5,1
64,58,5,1
64,28,4,1
64,46,4,1
65,304,5,1
65,6,5,1
65,124,5,1
65,33,5,1
65,64,5,1
65,148,5,1
66,33,2,1
66,0,3,1
67,263,5,1
67,29,4,1
67,33,4,1
67,35,4,1
68,1,5,1
68,40,4,1
68,164,4,1
69,56,5,1
69,173,5,1
69,2,5,1
69,190,4,1
69,0,4,1
69,20,4,1
69,40,5,1
69,121,5,1
69,138,5,1
69,138,3,1
70,148,4,1
70,147,5,1
70,142,5,1
70,84,5,1
70,2,5,1
70,75,5,1
70,7,5,1
70,118,5,1
70,124,5,1
71,85,4,1
71,119,4,1
71,33,4,1
71,36,4,1
71,124,4,1
71,84,4,1
71,114,4,1
71,184,4,1
71,33,1,1
72,124,4,1
72,210,4,1
